number,country_other,total_cases,new_cases,total_deaths,new_deaths,total_recovered,new_recovered,active_cases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop,population,continent,x1_caseevery_x_ppl,x1_deathevery_x_ppl,x1_testevery_x_ppl
  1,USA,2504588,,126780,NA,1052293,,1325515,15723,7567,383,30732552,92854,330975810,North America,132,2611,11
  2,Brazil,1233147,,55054,NA,649908,,528185,8318,5802,259,2751953,12948,212537568,South America,172,3861,77
  3,Russia,613994,,8605,NA,375164,,230225,2300,4207,59,18115830,124137,145933767,Europe,238,16959,8
  4,India,491170,,15308,NA,285671,,190191,8944,356,11,7560782,5480,1379789304,Asia,2809,90135,182
  5,UK,307980,,43230,NA,"NA","NA","NA",311,4537,637,8710292,128317,67881190,Europe,220,1570,8
  6,Spain,294566,,28330,NA,"NA","NA","NA",617,6300,606,5162909,110426,46754577,Europe,159,1650,9
  7,Peru,268602,,8761,NA,156074,,103767,1144,8148,266,1583605,48041,32963598,South America,123,3763,21
  8,Chile,259064,,4903,NA,219327,,34834,2078,13554,257,1025081,53631,19113705,South America,74,3898,19
  9,Italy,239706,,34678,NA,186725,,18303,103,3965,574,5163154,85394,60462730,Europe,252,1744,12
 10,Iran,215096,,10130,NA,175103,,29863,2899,2561,121,1530437,18225,83974258,Asia,390,8290,55
 11,Mexico,202951,6104,25060,736,149318,,28573,378,1574,194,515658,4000,128910809,North America,635,5144,250
 12,Germany,193785,,9012,NA,176800,,7973,360,2313,108,5412655,64605,83780597,Europe,432,9297,15
 13,Turkey,193115,,5046,NA,165706,,22363,941,2290,60,3135424,37183,84324246,Asia,437,16711,27
 14,Pakistan,192970,,3903,NA,81307,,107760,3003,874,18,1171976,5308,220802843,Asia,1144,56573,188
 15,Saudi Arabia,170639,,1428,NA,117882,,51329,2206,4903,41,1479759,42517,34803660,Asia,204,24372,24
 16,France,161348,,29752,NA,75351,,56245,651,2472,456,1384633,21213,65271779,Europe,405,2194,47
 17,Bangladesh,126606,,1621,NA,51495,,73490,1,769,10,681443,4138,164663262,Asia,1301,101581,242
 18,South Africa,118375,,2292,NA,59974,,56109,539,1996,39,1460012,24623,59295764,Africa,501,25871,41
 19,Canada,102622,,8504,NA,65425,,28693,2077,2719,225,2558363,67794,37737089,North America,368,4438,15
 20,Qatar,91838,,106,NA,74544,,17188,212,32708,38,337496,120199,2807805,Asia,31,26489,8
 21,Colombia,80599,,2654,NA,33349,,44596,335,1584,52,670093,13172,50874063,South America,631,19169,76
 22,Sweden,63890,,5230,NA,"NA","NA","NA",193,6327,518,444607,44028,10098382,Europe,158,1931,23
