date,case_type,case_num
Mar 19 2020,recovered,84966
Mar 20 2020,confirmed,271092
Mar 20 2020,deaths,11287
Mar 20 2020,recovered,87411
Mar 21 2020,confirmed,303119
Mar 21 2020,deaths,12954
Mar 21 2020,recovered,91682
Mar 22 2020,confirmed,335481
Mar 22 2020,deaths,14630
Mar 22 2020,recovered,97889
Mar 23 2020,confirmed,376144
Mar 23 2020,deaths,16480
Mar 23 2020,recovered,98341
Mar 24 2020,confirmed,415250
Mar 24 2020,deaths,18599
Mar 24 2020,recovered,107890
Mar 25 2020,confirmed,464391
Mar 25 2020,deaths,21151
Mar 25 2020,recovered,113604
Mar 26 2020,confirmed,525536
Mar 26 2020,deaths,23932
Mar 26 2020,recovered,121966
Mar 27 2020,confirmed,588596
Mar 27 2020,deaths,27144
Mar 27 2020,recovered,130659
Mar 28 2020,confirmed,655116
Mar 28 2020,deaths,30591
Mar 28 2020,recovered,138949
Mar 29 2020,confirmed,713819
Mar 29 2020,deaths,33860
Mar 29 2020,recovered,148616
Mar 30 2020,confirmed,774948
Mar 30 2020,deaths,37500
Mar 30 2020,recovered,164100
Mar 31 2020,confirmed,848941
Mar 31 2020,deaths,42004
Mar 31 2020,recovered,176442
