country_other,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop,continent
USA,520999,18123,20135,1388,28507,472357,10947,1574,61,2606661,7875,North America
Spain,161852,3579,16353,272,59109,86390,7371,3462,350,355000,7593,Europe
Italy,152271,4694,19468,619,32534,100269,3381,2518,322,963473,15935,Europe
France,124869,,13197,,24932,86740,7004,1913,202,333807,5114,Europe
Germany,123826,1655,2736,,53913,67177,4895,1478,33,1317887,15730,Europe
UK,78991,5233,9875,917,344,68772,1559,1164,145,334974,4934,Europe
Iran,70029,1837,4357,125,41947,23725,3987,834,52,251703,2997,Asia
Turkey,52167,5138,1101,95,2965,48101,1626,619,13,340380,4036,Asia
Belgium,28018,1351,3346,327,5986,18686,1262,2418,289,102151,8814,Europe
Switzerland,25071,520,1036,34,11100,12935,386,2897,120,190000,21954,Europe
Netherlands,24413,1316,2643,132,250,21520,1384,1425,154,101534,5926,Europe
Canada,22575,427,569,,6013,15993,557,598,15,401552,10639,North America
Brazil,20022,233,1075,7,173,18774,296,94,5,62985,296,South America
Portugal,15987,515,470,35,266,15251,233,1568,46,140863,13815,Europe
Austria,13798,238,337,18,6604,6857,246,1532,37,140975,15653,Europe
Russia,13584,1667,106,12,1045,12433,8,93,07,1184442,8116,Europe
Israel,10525,117,96,1,1258,9171,180,1216,11,117339,13557,Asia
S Korea,10480,30,211,3,7243,3026,55,204,4,510479,9957,Asia
Sweden,10151,466,887,17,381,8883,774,1005,88,54700,5416,Europe
India,8339,739,249,,774,7316,,6,02,189111,137,Asia
Ireland,8089,,287,,25,7777,194,1638,58,53000,10734,Europe
Ecuador,7257,96,315,18,411,6531,184,411,18,21568,1222,South America
Chile,6927,426,73,8,1864,4990,383,362,4,76374,3995,South America
Norway,6403,89,117,4,32,6254,67,1181,22,124279,22924,Europe
Poland,6356,401,208,27,375,5773,160,168,5,129560,3423,Europe
Australia,6303,65,56,2,3265,2982,80,247,2,351380,13780,AustraliaOceania
Japan,6005,,99,,762,5144,109,47,08,64387,509,Asia
Denmark,5996,177,260,13,1955,3781,106,1035,45,67771,11700,Europe
Romania,5990,523,290,20,758,4942,208,311,15,59272,3081,Europe
Peru,5897,,169,,1569,4159,130,179,5,56681,1719,South America
Czechia,5831,99,129,10,411,5291,92,544,12,120285,11232,Europe
Pakistan,4970,275,77,11,762,4131,50,22,03,57836,262,Asia
Malaysia,4530,184,73,3,1995,2462,72,140,2,71897,2221,Asia
Philippines,4428,233,247,26,157,4024,1,40,2,24500,224,Asia
Saudi Arabia,4033,382,52,5,720,3261,57,116,1,115585,3320,Asia
Mexico,3844,403,233,39,633,2978,89,30,2,31492,244,North America
Indonesia,3842,330,327,21,286,3229,,14,1,19452,71,Asia
UAE,3736,376,20,4,588,3128,1,378,2,648195,65538,Asia
Serbia,3380,275,74,3,118,3188,145,387,8,16399,1877,Europe
Luxembourg,3270,47,62,8,500,2708,30,5224,99,28965,46272,Europe
Panama,2974,,74,,17,2883,104,689,17,11776,2729,North America
Finland,2905,136,49,1,300,2556,80,524,9,44354,8005,Europe
Qatar,2728,216,6,,247,2475,37,947,2,47751,16574,Asia
Dominican Republic,2620,,126,,98,2396,147,242,12,7936,732,North America
Thailand,2518,45,35,2,1135,1348,61,36,05,71860,1030,Asia
Ukraine,2511,308,73,4,79,2359,45,57,2,26577,608,Europe
Colombia,2473,,80,,197,2196,85,49,2,37593,739,South America
Singapore,2299,191,8,1,528,1763,31,393,1,72680,12423,Asia
Belarus,2226,245,23,4,172,2031,72,236,2,53000,5609,Europe
Greece,2081,70,93,1,269,1719,75,200,9,37344,3583,Europe
South Africa,2028,25,25,1,410,1593,7,34,04,75053,1265,Africa
Argentina,1975,,83,1,440,1452,115,44,2,16379,362,South America
Algeria,1825,64,275,19,460,1090,46,42,6,3359,77,Africa
Egypt,1794,,135,,384,1275,,18,1,25000,244,Africa
Iceland,1689,14,7,,841,841,11,4950,21,34635,101497,Europe
Moldova,1560,122,30,1,75,1455,80,387,7,6271,1555,Europe
Croatia,1534,39,21,,323,1190,32,374,5,15691,3822,Europe
Morocco,1527,79,110,3,141,1276,1,41,3,7734,210,Africa
Iraq,1318,39,72,2,601,645,,33,2,33889,843,Asia
New Zealand,1312,29,4,2,422,886,5,272,08,58746,12182,AustraliaOceania
Hungary,1310,120,85,8,115,1110,17,136,9,31961,3308,Europe
Estonia,1304,46,24,,93,1187,11,983,18,29456,22205,Europe
Slovenia,1188,28,50,5,148,990,37,571,24,34279,16489,Europe
Kuwait,1154,161,1,,133,1020,27,270,02,,,Asia
Azerbaijan,1058,67,11,1,200,847,27,104,1,61342,6050,Asia
Lithuania,1026,27,23,1,54,949,14,377,8,38472,14132,Europe
Bahrain,1016,91,6,,551,459,3,597,4,60425,35511,Asia
Hong Kong,1001,11,4,,336,661,14,134,05,96709,12900,Asia
Armenia,977,40,13,1,173,791,30,330,4,6484,2188,Asia
Bosnia and Herzegovina,935,34,37,1,139,759,4,285,11,6911,2106,Europe
Kazakhstan,859,47,10,,81,768,21,46,05,61955,3300,Asia
Cameroon,820,,12,,98,710,,31,05,,,Africa
North Macedonia,760,49,34,2,41,685,15,365,16,7653,3673,Europe
Uzbekistan,729,105,3,,42,684,8,22,009,70000,2091,Asia
Slovakia,728,13,2,,23,703,5,133,04,25846,4734,Europe
Diamond Princess,712,,11,,619,82,10,,,,,
Tunisia,685,14,28,3,43,614,85,58,2,10676,903,Africa
Bulgaria,661,26,28,3,62,571,32,95,4,18502,2663,Europe
Latvia,630,18,3,,16,611,2,334,2,27796,14737,Europe
Cuba,620,56,16,1,77,527,11,55,1,13162,1162,North America
Lebanon,619,10,20,,77,522,34,91,3,14055,2059,Asia
Cyprus,616,21,10,,61,545,8,510,8,17119,14179,Asia
Andorra,601,,26,,71,504,17,7778,337,1673,21653,Europe
Costa Rica,558,,3,,42,513,13,110,06,6298,1236,North America
Afghanistan,555,34,18,3,32,505,,14,05,,,Asia
Oman,546,62,3,,109,434,3,107,06,,,Asia
Uruguay,494,21,7,,214,273,15,142,2,7496,2158,South America
Bangladesh,482,58,30,3,36,416,1,3,02,8313,50,Asia
Ivory Coast,480,,3,,54,423,,18,01,,,Africa
Burkina Faso,448,,26,,149,273,,21,1,,,Africa
Niger,438,,11,,41,386,,18,05,4298,178,Africa
Albania,433,17,23,,197,213,7,150,8,3644,1266,Europe
Ghana,408,30,8,2,4,396,2,13,03,37405,1204,Africa
Channel Islands,398,,9,,40,349,,2289,52,3320,19095,Europe
Honduras,392,10,24,1,7,361,10,40,2,1600,162,North America
Réunion,388,6,,,40,348,3,433,,,,Africa
