country_other,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,tot_cases_1m_pop,tot_deaths_1m_pop
China,81218,47,3281, 4,73650,4287,1399,56,  200
Italy,69176,,6820,NA,8326,54030,3393,1144,11300
USA,54935,54,784, 4,379,53772,1175,166,  200
Spain,42058,,2991,NA,3794,35273,2636,900, 6400
Germany,33593,602,164, 5,3299,30130,23,401,  200
Iran,24811,,1934,NA,8913,13964,,295, 2300
France,22304,,1100,NA,3281,17923,2516,342, 1700
Switzerland,9991,114,133,11,131,9727,141,1154, 1500
S Korea,9137,100,126, 6,3730,5281,59,178,  200
UK,8077,,422,NA,135,7520,20,119,  600
Netherlands,5560,,276,NA,2,5282,435,324, 1600
Austria,5427,144,30, 2,9,5388,26,603,  300
Belgium,4269,,122,NA,461,3686,381,368, 1100
Norway,2868,2,13, 1,6,2849,44,529,  200
Canada,2792,,26,NA,112,2654,1,74,  070
Australia,2423,106,8,NA,118,2297,11,95,  030
Portugal,2362,,33,NA,22,2307,48,232,  300
Sweden,2299,,40,NA,16,2243,143,228,  400
Brazil,2247,,46,NA,2,2199,18,11,  020
Israel,2030,100,5, 2,58,1967,37,235,  060
Turkey,1872,,44,NA,,1828,,22,  050
Malaysia,1796,172,17, 1,183,1596,64,55,  050
Denmark,1591,,32,NA,1,1558,69,275,  600
Czechia,1497,103,3,NA,10,1484,19,140,  030
Ireland,1329,,7,NA,5,1317,29,269,  100
Japan,1193,,43,NA,285,865,54,9,  030
Luxembourg,1099,,8,NA,6,1085,3,1756, 1300
Ecuador,1082,,27,NA,3,1052,2,61,  200
Pakistan,1000,28,7,NA,19,974,5,5,  003
Thailand,934,107,4,NA,70,860,11,13,  006
Poland,927,26,12, 2,1,914,3,24,  030
Chile,922,,2,NA,17,903,7,48,  010
Romania,794,,13, 1,79,702,15,41,  070
Finland,792,,1,NA,10,781,11,143,  020
Saudi Arabia,767,,1,NA,28,738,,22,  003
Greece,743,,20,NA,29,694,35,71,  200
Diamond Princess,712,,10,NA,587,115,15,,NA
