number,country_other,total_cases,new_cases,total_deaths,new_deaths,total_recovered,new_recovered,active_cases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop,population,continent,x1_caseevery_x_ppl,x1_deathevery_x_ppl,x1_testevery_x_ppl
205,Saint Kitts and Nevis,17,,,NA,17,,0,,319,,1430,26851,53257,North America,3133,,37
206,Greenland,14,,,NA,14,,0,,247,,6591,116069,56785,North America,4056,,9
207,Montserrat,13,,1,NA,12,,0,,2604,200,61,12220,4992,North America,384,4992,82
208,Caribbean Netherlands,13,,,NA,7,,6,,495,,424,16146,26260,North America,2020,,62
209,Falkland Islands,13,,,NA,13,,0,,3720,,2256,645494,3495,South America,269,,2
210,Vatican City,12,,,NA,12,,0,,14981,,,,801,Europe,67,,
211,Western Sahara,10,,1,NA,8,,1,,17,2,,,599487,Africa,59949,599487,
212,MS Zaandam,9,,2,NA,,,7,,,,,,,,,,
213,Saint Pierre Miquelon,5,,,NA,1,,4,,864,,,,5789,North America,1158,,
214,Anguilla,3,,,NA,3,,0,,200,,662,44063,15024,North America,5008,,23
215,China,85004,8,4634,NA,80046,31,324,5,59,3,90410000,62814,1439323776,Asia,16932,310601,16
