country_other,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,tot_cases_1m_pop,tot_deaths_1m_pop
Nepal,3,1,,,1,2,,01,NA
Angola,3,,,,,3,,009,NA
Antigua and Barbuda,3,,,,,3,,31,NA
CAR,3,,,,,3,,06,NA
Chad,3,,,,,3,,02,NA
Laos,3,1,,,,3,,04,NA
Liberia,3,,,,,3,,06,NA
Myanmar,3,,,,,3,,006,NA
St Barth,3,,,,,3,,304,NA
Saint Lucia,3,,,,,3,,16,NA
Sint Maarten,3,1,,,,3,,70,NA
Belize,2,1,,,,2,,5,NA
Bhutan,2,,,,,2,,3,NA
British Virgin Islands,2,2,,,,2,,66,NA
GuineaBissau,2,2,,,,2,,1,NA
Mali,2,2,,,,2,,010,NA
Mauritania,2,,,,,2,,04,NA
Nicaragua,2,,,,,2,,03,NA
Saint Kitts and Nevis,2,2,,,,2,,38,NA
Grenada,1,,,,,1,,9,NA
Libya,1,,,,,1,,01,NA
Montserrat,1,,,,,1,,200,NA
Papua New Guinea,1,,,,,1,,01,NA
St Vincent Grenadines,1,,,,,1,,9,NA
Somalia,1,,,,,1,,006,NA
TimorLeste,1,,,,,1,,08,NA
Turks and Caicos,1,,,,,1,,26,NA
